epoch,training_loss,training_acc,val_loss,val_acc
62,0.03559241678380737,0.98872083,0.4354932521070753,0.82998514
63,0.03425983904310721,0.98943406,0.3425665242331369,0.89620537
64,0.037425988070536285,0.9884222,0.30757259896823336,0.8813244
65,0.03209334126136794,0.99028,0.5987977428095681,0.8113839
66,0.034036017651632604,0.98959994,0.43585727896009174,0.8504464
67,0.03324036918221646,0.9893843,0.3885634115764073,0.8761161
68,0.03200597544899581,0.99024683,0.43493449687957764,0.8251488
69,0.03611190924046496,0.9883725,0.511301189661026,0.86123514
70,0.03270463817634258,0.99047905,0.4023167278085436,0.88318455
71,0.033205321317970174,0.98983216,0.5795198253222874,0.86644346
72,0.02964436225923984,0.99072784,0.4965921086924417,0.8556548
73,0.03118717985846485,0.9904293,0.7338720389774868,0.76339287
74,0.03395221315032897,0.9891189,0.287040325147765,0.90625
75,0.028943413210466243,0.9913084,0.4212095056261335,0.86272323
76,0.02625062421578202,0.99217093,0.476431314434324,0.8474702
77,0.025854938581977394,0.99223727,0.2913988466773714,0.9401042
78,0.0226922865883706,0.9931164,0.3625342845916748,0.87537205
79,0.021879921993259253,0.9932159,0.4247528144291469,0.8712798
80,0.023599559361683085,0.99301684,0.39131721002714975,0.87574404
81,0.025114672445075936,0.99223727,0.765368640422821,0.8151042
82,0.02365443326682438,0.99324906,0.49571833865983145,0.8474702
83,0.027153068321002914,0.9916733,0.3849857449531555,0.8828125
84,0.02272247758715404,0.9927515,0.5500870219298771,0.83035713
85,0.027546977915845226,0.9915904,0.3819270815168108,0.85342264
86,0.025894862433019018,0.99173963,0.7198398453848702,0.85714287
87,0.02443503293136111,0.9923865,0.6940020322799683,0.7641369
88,0.02410801639999376,0.99236995,0.4512517750263214,0.83258927
89,0.023623728423485396,0.99268514,0.34851542115211487,0.87723213
90,0.020705698498876567,0.99376327,0.3659256781850542,0.8630952
91,0.01842400442208623,0.99421114,0.48793785912649973,0.8374256
92,0.015727022222493878,0.99477506,0.34277615376881193,0.8891369
93,0.017577925790675953,0.99421114,0.3713309977735792,0.9025298
